RT,SERIALNO,SPORDER,PUMA,ST,ADJINC,PWGTP,AGEP,CIT,CITWP,COW,DDRS,DEAR,DEYE,DOUT,DPHY,DRAT,DRATX,DREM,ENG,FER,GCL,GCM,GCR,HINS1,HINS2,HINS3,HINS4,HINS5,HINS6,HINS7,INTP,JWMNP,JWRIP,JWTR,LANX,MAR,MARHD,MARHM,MARHT,MARHW,MARHYP,MIG,MIL,MLPA,MLPB,MLPCD,MLPE,MLPFG,MLPH,MLPI,MLPJ,MLPK,NWAB,NWAV,NWLA,NWLK,NWRE,OIP,PAP,RELP,RETP,SCH,SCHG,SCHL,SEMP,SEX,SSIP,SSP,WAGP,WKHP,WKL,WKW,WRK,YOEP,ANC,ANC1P,ANC2P,DECADE,DIS,DRIVESP,ESP,ESR,FHICOVP,FOD1P,FOD2P,HICOV,HISP,INDP,JWAP,JWDP,LANP,MIGPUMA,MIGSP,MSP,NAICSP,NATIVITY,NOP,OC,OCCP,PAOC,PERNP,PINCP,POBP,POVPIP,POWPUMA,POWSP,PRIVCOV,PUBCOV,QTRBIR,RAC1P,RAC2P,RAC3P,RACAIAN,RACASN,RACBLK,RACNH,RACNUM,RACPI,RACSOR,RACWHT,RC,SCIENGP,SCIENGRLP,SFN,SFR,SOCP,VPS,WAOB
P,848873,1,103,11,1001264,67,89,1,,,2,2,2,2,2,,2,2,,,2,,,1,2,1,2,2,2,2,720,,,,2,1,2,2,2,2,1954,1,2,0,0,0,0,0,0,0,1,0,2,5,2,2,3,0,0,0,26500,1,,22,0,1,0,20400,0,,3,,2,,1,22,999,,2,,,6,0,1902,,1,1,,,,,,,1,,1,,0,,,0,47620,44,407,,,1,1,3,1,1,1,0,0,0,0,1,0,0,1,0,2,2,,,,11,1
P,848873,2,103,11,1001264,68,85,1,,,2,2,2,2,2,,,2,,,2,,,1,2,1,2,2,2,2,990,,,,2,1,2,2,1,2,1954,1,4,,,,,,,,,,2,5,2,2,3,0,0,1,0,1,,21,0,2,0,9600,0,,3,,2,,2,22,32,,2,,,6,0,3700,3301,1,1,,,,,,,1,,1,,0,,4,0,10590,45,407,,,1,1,4,1,1,1,0,0,0,0,1,0,0,1,0,1,2,,,,,1
P,850030,1,103,11,1001264,51,42,1,,6,2,2,2,2,2,,,2,,,2,,,2,1,2,2,2,2,2,0,15,2,1,2,1,2,2,1,2,2010,3,4,,,,,,,,,,3,5,3,3,3,0,0,0,0,1,,21,70000,1,0,0,0,35,1,1,1,,2,22,32,,2,2,,1,0,1903,,1,1,7390,100,58,,100,11,1,5416,1,,0,2840,,70000,70000,51,501,100,11,1,2,1,1,1,1,0,0,0,0,1,0,0,1,0,2,2,,,273042,,1
P,850030,2,103,11,1001264,50,37,1,,1,2,2,2,2,2,,,2,,,2,,,2,1,2,2,2,2,2,0,90,1,1,2,1,2,2,1,2,2010,3,4,,,,,,,,,,3,5,3,3,3,0,0,1,0,1,,22,0,1,0,0,118000,42,1,1,1,,2,20,87,,2,1,,1,0,5004,5005,1,1,7390,112,55,,100,11,1,5416,1,,0,110,,118000,118000,12,501,1000,24,1,2,3,1,1,1,0,0,0,0,1,0,0,1,0,1,2,,,113021,,1
P,850030,3,103,11,1001264,98,45,1,,1,2,2,2,2,2,,,2,,,2,,,1,2,2,2,2,2,2,0,15,,4,2,3,2,2,1,2,1989,3,4,,,,,,,,,,3,5,3,3,3,0,0,15,0,1,,21,0,1,0,0,85000,55,1,1,,,4,999,999,,2,,,1,1,1902,,1,1,7370,211,124,,100,11,4,5414,1,,0,2630,,85000,85000,55,501,100,11,1,2,2,1,1,1,0,0,0,0,1,0,0,1,0,2,2,,,271020,,1
P,851023,1,105,11,1001264,69,18,1,,,2,2,2,2,2,,,2,,,,,,1,2,2,2,2,2,2,0,,,,2,5,,,,,,3,4,,,,,,,,,,3,5,3,3,3,0,0,17,0,3,15,18,0,1,0,0,0,,3,,,,1,902,999,,2,,,6,0,,,1,1,,,,,800,4,6,,1,,0,,,0,0,4,,,,1,2,1,2,2,2,0,0,1,0,1,0,0,0,0,,,,,,,1
P,851319,1,101,11,1001264,372,37,2,,1,2,2,2,2,2,,,2,,,2,,,1,2,2,2,2,2,2,0,40,1,1,2,1,2,2,1,2,2010,1,4,,,,,,,,,,3,5,3,3,3,0,0,0,0,1,,21,0,1,0,0,125000,45,1,1,1,1998,1,261,999,6,2,1,,1,0,2105,,1,3,7380,114,67,,,,1,5415,1,,0,1020,,125000,125000,72,501,51255,51,1,2,2,8,67,15,0,0,0,0,1,0,1,0,0,1,2,,,15113X,,2
P,851319,2,101,11,1001264,288,33,1,,1,2,2,2,2,2,,,2,,2,2,,,1,2,2,2,2,2,2,0,10,1,1,2,1,2,2,1,2,2010,1,4,,,,,,,,,,3,5,3,3,3,0,0,1,0,1,,22,0,2,0,0,35000,30,1,1,1,,1,195,999,,2,1,,1,0,6100,,1,1,8080,114,73,,,,1,6213ZM,1,,0,4520,4,35000,35000,36,501,1000,24,1,2,2,1,1,1,0,0,0,0,1,0,0,1,0,2,1,,,395090,,1
P,851996,1,105,11,1001264,76,49,4,2000,1,2,2,2,2,2,,,2,,,2,,,2,1,2,2,2,2,2,0,,,,2,5,,,,,,1,4,,,,,,,,,,2,1,2,1,3,8000,0,0,0,1,,22,0,1,0,0,70000,40,1,4,2,1988,1,615,999,5,2,,,3,0,5501,,1,1,7290,,,,,,6,5413,2,,0,1006,,70000,78000,210,501,,,1,2,3,6,38,4,0,1,0,0,1,0,0,0,0,1,2,,,151121,,4
P,853023,1,101,11,1001264,65,36,3,,5,2,2,2,2,2,,,2,,2,2,,,1,2,2,2,2,2,2,340,45,,2,2,5,,,,,,1,4,,,,,,,,,,3,5,3,3,3,0,0,0,0,1,,22,0,2,0,0,84000,40,1,1,1,1979,1,232,999,4,2,,,1,0,5506,,1,14,9490,109,61,,,,6,92M1,1,,0,1105,4,84000,84340,361,501,100,11,1,2,2,9,68,17,1,0,0,0,2,0,0,1,0,1,2,,,151142,,3
